Probeset	Label	NCBIGeneID	GeneSymbol
ENSG00000235143	RP1-65J11.5		RP1-65J11.5
ENSG00000162512	SDC3	9672	SDC3
ENSG00000266210	RN7SL371P		RN7SL371P
ENSG00000134644	PUM1	9698	PUM1
ENSG00000060688	SNRNP40	9410	SNRNP40
ENSG00000229447	RP11-490K7.4		RP11-490K7.4
ENSG00000121766	ZCCHC17	51538	ZCCHC17
ENSG00000168528	SERINC2	347735	SERINC2
ENSG00000260636	RP11-439L8.5		RP11-439L8.5
ENSG00000142910	TINAGL1	64129	TINAGL1
ENSG00000162517	PEF1	553115	PEF1
ENSG00000084636	COL16A1	1307	COL16A1
ENSG00000184007	PTP4A2	8073	PTP4A2
ENSG00000121774	KHDRBS1	10657	KHDRBS1
ENSG00000203325	RP11-277A4.4		RP11-277A4.4
ENSG00000121775	TMEM39B	55116	TMEM39B
ENSG00000276493	Metazoa_SRP		Metazoa_SRP
ENSG00000025800	KPNA6	23633	KPNA6
ENSG00000084652	TXLNA	200081	TXLNA
ENSG00000160055	TMEM234	56063	TMEM234
ENSG00000084623	EIF3I	8668	EIF3I
ENSG00000220785	MTMR9LP	339483	MTMR9LP
ENSG00000116478	HDAC1	3065	HDAC1
ENSG00000175130	MARCKSL1	65108	MARCKSL1
ENSG00000162526	TSSK3	81629	TSSK3
ENSG00000160058	BSDC1	55108	BSDC1
ENSG00000160062	ZBTB8A	653121	ZBTB8A
ENSG00000176261	ZBTB8OS	339487	ZBTB8OS
ENSG00000162521	RBBP4	5928	RBBP4
ENSG00000162522	KIAA1522	57648	KIAA1522
ENSG00000134684	YARS	8565	YARS
ENSG00000116497	S100PBP	64766	S100PBP
ENSG00000121900	TMEM54	113452	TMEM54
ENSG00000116514	RNF19B	127544	RNF19B
ENSG00000278966	RP5-1174N9.2		RP5-1174N9.2
ENSG00000004455	AK2	204	AK2
ENSG00000160094	ZNF362	149076	ZNF362
ENSG00000225313	RP11-415J8.3		RP11-415J8.3
ENSG00000134686	PHC2	1912	PHC2
ENSG00000163866	SMIM12	113444	SMIM12
ENSG00000241014	RP11-244H3.1		RP11-244H3.1
ENSG00000271741	RP11-244H3.4		RP11-244H3.4
ENSG00000163867	ZMYM6	9204	ZMYM6
ENSG00000197056	ZMYM1	79830	ZMYM1
ENSG00000116560	SFPQ	6421	SFPQ
ENSG00000146463	ZMYM4	9202	ZMYM4
ENSG00000278702	Metazoa_SRP		Metazoa_SRP
ENSG00000142687	KIAA0319L	79932	KIAA0319L
ENSG00000020129	NCDN	23154	NCDN
ENSG00000126067	PSMB2	5690	PSMB2
ENSG00000142686	C1orf216	127703	C1orf216
ENSG00000092853	CLSPN	63967	CLSPN
ENSG00000134698	AGO4	192670	AGO4
ENSG00000092847	AGO1	26523	AGO1
ENSG00000126070	AGO3	192669	AGO3
ENSG00000054116	TRAPPC3	27095	TRAPPC3
ENSG00000116871	MAP7D1	55700	MAP7D1
ENSG00000264592	RN7SL131P		RN7SL131P
ENSG00000054118	THRAP3	9967	THRAP3
ENSG00000214193	SH3D21	79729	SH3D21
ENSG00000116883	RP11-268J15.5		RP11-268J15.5
ENSG00000196182	STK40	83931	STK40
ENSG00000116898	MRPS15	64960	MRPS15
ENSG00000119535	CSF3R	1441	CSF3R
ENSG00000280570	AC117945.1		AC117945.1
ENSG00000163875	MEAF6	64769	MEAF6
ENSG00000163877	SNIP1	79753	SNIP1
ENSG00000163879	DNALI1	7802	DNALI1
ENSG00000134697	GNL2	29889	GNL2
ENSG00000169218	RSPO1	284654	RSPO1
ENSG00000116922	C1orf109	54955	C1orf109
ENSG00000188786	MTF1	4520	MTF1
ENSG00000204084	INPP5B	3633	INPP5B
ENSG00000277168	Metazoa_SRP		Metazoa_SRP
ENSG00000183431	SF3A3	10946	SF3A3
ENSG00000183520	UTP11L	51118	UTP11L
ENSG00000116954	RRAGC	64121	RRAGC
ENSG00000214114	MYCBP	26292	MYCBP
ENSG00000174574	AKIRIN1	79647	AKIRIN1
ENSG00000168653	NDUFS5	4725	NDUFS5
ENSG00000127603	MACF1	23499	MACF1
ENSG00000182109	RP11-69E11.4		RP11-69E11.4
ENSG00000090621	PABPC4	8761	PABPC4
ENSG00000084072	PPIE	10450	PPIE
ENSG00000043514	TRIT1	54802	TRIT1
ENSG00000168389	MFSD2A	84879	MFSD2A
ENSG00000131236	CAP1	10487	CAP1
ENSG00000131238	PPT1	5538	PPT1
ENSG00000117000	RLF	6018	RLF
ENSG00000084073	ZMPSTE24	10269	ZMPSTE24
ENSG00000084070	SMAP2	64744	SMAP2
ENSG00000238287	RP11-656D10.3		RP11-656D10.3
ENSG00000164002	EXO5	64789	EXO5
ENSG00000117010	ZNF684	127396	ZNF684
ENSG00000272145	NFYC-AS1	100130557	NFYC-AS1
ENSG00000066136	NFYC	4802	NFYC
ENSG00000171793	CTPS1	1503	CTPS1
ENSG00000281207	SLFNL1-AS1	100507178	SLFNL1-AS1
ENSG00000010803	SCMH1	22955	SCMH1
ENSG00000044012	GUCA2B	2981	GUCA2B
ENSG00000197273	GUCA2A	2980	GUCA2A
ENSG00000198815	FOXJ3	22887	FOXJ3
ENSG00000127125	PPCS	79717	PPCS
ENSG00000186409	CCDC30	728621	CCDC30
ENSG00000171960	PPIH	10465	PPIH
ENSG00000065978	YBX1	4904	YBX1
ENSG00000117385	P3H1	64175	P3H1
ENSG00000164008	C1orf50	79078	C1orf50
ENSG00000177868	SVBP		SVBP
ENSG00000164010	ERMAP	114625	ERMAP
ENSG00000117395	EBNA1BP2	10969	EBNA1BP2
ENSG00000179178	TMEM125	128218	TMEM125
ENSG00000253313	C1orf210	149466	C1orf210
ENSG00000066056	TIE1	7075	TIE1
ENSG00000066322	ELOVL1	64834	ELOVL1
ENSG00000159479	MED8	112950	MED8
ENSG00000229431	RP1-92O14.6		RP1-92O14.6
ENSG00000198198	SZT2	23334	SZT2
ENSG00000178922	HYI	81888	HYI
ENSG00000142949	PTPRF	5792	PTPRF
ENSG00000066135	KDM4A	9682	KDM4A
ENSG00000236200	KDM4A-AS1	100132774	KDM4A-AS1
ENSG00000126091	ST3GAL3	6487	ST3GAL3
ENSG00000117410	ATP6V0B	533	ATP6V0B
ENSG00000117411	B4GALT2	8704	B4GALT2
ENSG00000159214	CCDC24	149473	CCDC24
ENSG00000230615	RP5-1198O20.4		RP5-1198O20.4
ENSG00000227163	RP5-1198O20.5		RP5-1198O20.5
ENSG00000178028	DMAP1	55929	DMAP1
ENSG00000117419	ERI3	79033	ERI3
ENSG00000187147	RNF220	55182	RNF220
ENSG00000126106	TMEM53	79639	TMEM53
ENSG00000142937	RPS8	6202	RPS8
ENSG00000200913	SNORD46	94161	SNORD46
ENSG00000173846	PLK3	1263	PLK3
ENSG00000222009	BTBD19	149478	BTBD19
ENSG00000226499	RP5-882O7.1		RP5-882O7.1
ENSG00000070785	EIF2B3	8891	EIF2B3
ENSG00000126107	HECTD3	79654	HECTD3
ENSG00000126088	UROD	7389	UROD
ENSG00000162415	ZSWIM5	57643	ZSWIM5
ENSG00000132781	MUTYH	4595	MUTYH
ENSG00000132763	MMACHC	25974	MMACHC
ENSG00000117450	PRDX1	5052	PRDX1
ENSG00000117448	AKR1A1	10327	AKR1A1
ENSG00000132780	NASP	4678	NASP
ENSG00000159592	GPBP1L1	60313	GPBP1L1
ENSG00000197429	IPP	3652	IPP
ENSG00000230896	RP11-767N6.7		RP11-767N6.7
ENSG00000086015	MAST2	23139	MAST2
ENSG00000117461	PIK3R3	8503	PIK3R3
ENSG00000117472	TSPAN1	10103	TSPAN1
ENSG00000085998	POMGNT1	55624	POMGNT1
ENSG00000132128	LRRC41	10489	LRRC41
ENSG00000173660	UQCRH	7388	UQCRH
ENSG00000117481	NSUN4	387338	NSUN4
ENSG00000079277	MKNK1	8569	MKNK1
ENSG00000142961	MOB3C	148932	MOB3C
ENSG00000123472	ATPAF1	64756	ATPAF1
ENSG00000159658	EFCAB14	9813	EFCAB14
ENSG00000142973	CYP4B1	1580	CYP4B1
ENSG00000123473	STIL	6491	STIL
ENSG00000162368	CMPK1	51727	CMPK1
ENSG00000242267	SKINTL	391037	SKINTL
ENSG00000117834	SLC5A9	200010	SLC5A9
ENSG00000272491	RP5-1024N4.4		RP5-1024N4.4
ENSG00000132122	SPATA6	54558	SPATA6
ENSG00000185104	FAF1	11124	FAF1
ENSG00000225767	RP5-850O15.3		RP5-850O15.3
ENSG00000123091	RNF11	26994	RNF11
ENSG00000085831	TTC39A	22996	TTC39A
ENSG00000085832	EPS15	2060	EPS15
ENSG00000227070	RP11-191G24.1		RP11-191G24.1
ENSG00000252032	RNU6-1281P		RNU6-1281P
ENSG00000227742	CALR4P	441884	CALR4P
ENSG00000117859	OSBPL9	114883	OSBPL9
ENSG00000078618	NRD1	4898	NRD1
ENSG00000117862	TXNDC12	51060	TXNDC12
ENSG00000134717	BTF3L4	91408	BTF3L4
ENSG00000157077	ZFYVE9	9372	ZFYVE9
ENSG00000154222	CC2D1B	200014	CC2D1B
ENSG00000134748	PRPF38A	84950	PRPF38A
ENSG00000134744	ZCCHC11	23318	ZCCHC11
ENSG00000182183	FAM159A	348378	FAM159A
ENSG00000162377	COA7	65260	COA7
ENSG00000162378	ZYG11B	79699	ZYG11B
ENSG00000121310	ECHDC2	55268	ECHDC2
ENSG00000116171	SCP2	6342	SCP2
ENSG00000174348	PODN	127435	PODN
ENSG00000157184	CPT2	1376	CPT2
ENSG00000162384	C1orf123	54987	C1orf123
ENSG00000162385	MAGOH	4116	MAGOH
ENSG00000058799	YIPF1	54432	YIPF1
ENSG00000081870	HSPB11	51668	HSPB11
ENSG00000116212	LRRC42	115353	LRRC42
ENSG00000219102	HNRNPA3P12	100421395	HNRNPA3P12
ENSG00000116209	TMEM59	9528	TMEM59
ENSG00000280378	RP4-758J24.6		RP4-758J24.6
ENSG00000116205	TCEANC2	127428	TCEANC2
ENSG00000279049	AL353898.1		AL353898.1
ENSG00000215883	CYB5RL	606495	CYB5RL
ENSG00000116221	MRPL37	51253	MRPL37
ENSG00000157216	SSBP3	23648	SSBP3
ENSG00000265404	AC099796.1		AC099796.1
ENSG00000162390	ACOT11	26027	ACOT11
ENSG00000184313	MROH7	374977	MROH7
ENSG00000243725	TTC4	7268	TTC4
ENSG00000006555	TTC22	55001	TTC22
ENSG00000116133	DHCR24	1718	DHCR24
ENSG00000162402	USP24	23358	USP24
ENSG00000199831	RN7SKP291		RN7SKP291
ENSG00000162407	PLPP3		PLPP3
ENSG00000173406	DAB1	1600	DAB1
ENSG00000223416	RPS26P15	644928	RPS26P15
ENSG00000162600	OMA1	115209	OMA1
ENSG00000162601	MYSM1	114803	MYSM1
ENSG00000177606	JUN	3725	JUN
ENSG00000237352	LINC01358	101926925	LINC01358
ENSG00000172456	FGGY	55277	FGGY
ENSG00000134709	HOOK1	51361	HOOK1
ENSG00000134716	CYP2J2	1573	CYP2J2
ENSG00000162598	C1orf87	127795	C1orf87
ENSG00000162599	NFIA	4774	NFIA
ENSG00000162604	TM2D1	83941	TM2D1
ENSG00000132849	INADL	10207	INADL
ENSG00000162607	USP1	7398	USP1
ENSG00000116641	DOCK7	85440	DOCK7
ENSG00000088035	ALG6	29929	ALG6
ENSG00000142856	ITGB3BP	23421	ITGB3BP
ENSG00000203965	EFCAB7	84455	EFCAB7
ENSG00000264271	RN7SL488P		RN7SL488P
ENSG00000079739	PGM1	5236	PGM1
ENSG00000223949	ROR1-AS1	101927034	ROR1-AS1
ENSG00000162437	RAVER2	55225	RAVER2
ENSG00000162434	JAK1	3716	JAK1
ENSG00000226891	LINC01359	101927084	LINC01359
ENSG00000272506	RP4-535B20.4		RP4-535B20.4
ENSG00000162433	AK4	205	AK4
ENSG00000116675	DNAJC6	9829	DNAJC6
ENSG00000213625	LEPROT	54741	LEPROT
ENSG00000116678	LEPR	3953	LEPR
ENSG00000184588	PDE4B	5142	PDE4B
ENSG00000118473	SGIP1	84251	SGIP1
ENSG00000248458	RP4-598P13.1		RP4-598P13.1
ENSG00000152763	WDR78	79819	WDR78
ENSG00000198160	MIER1	57708	MIER1
ENSG00000116704	SLC35D1	23169	SLC35D1
ENSG00000142864	SERBP1	26135	SERBP1
ENSG00000235200	RP11-393N21.2		RP11-393N21.2
ENSG00000116717	GADD45A	1647	GADD45A
ENSG00000172380	GNG12	55970	GNG12
ENSG00000232284	GNG12-AS1	100289178	GNG12-AS1
ENSG00000116729	WLS	79971	WLS
ENSG00000116754	SRSF11	9295	SRSF11
ENSG00000118454	ANKRD13C	81573	ANKRD13C
ENSG00000197568	HHLA3	11147	HHLA3
ENSG00000116761	CTH	1491	CTH
ENSG00000271992	RP11-42O15.3		RP11-42O15.3
ENSG00000132485	ZRANB2	9406	ZRANB2
ENSG00000229956	ZRANB2-AS2	100852410	ZRANB2-AS2
ENSG00000172260	NEGR1	257194	NEGR1
ENSG00000233994	GDI2P2	100420259	GDI2P2
ENSG00000254685	FPGT	8790	FPGT
ENSG00000116791	CRYZ	1429	CRYZ
ENSG00000162623	TYW3	127253	TYW3
ENSG00000261213	RP11-510C10.4		RP11-510C10.4
ENSG00000117054	ACADM	34	ACADM
ENSG00000137955	RABGGTB	5876	RABGGTB
ENSG00000142892	PIGK	10026	PIGK
ENSG00000226084	RP4-706A16.3		RP4-706A16.3
ENSG00000221664	AC095030.1		AC095030.1
ENSG00000036549	ZZZ3	26009	ZZZ3
ENSG00000243437	RN7SL370P		RN7SL370P
ENSG00000077254	USP33	23032	USP33
ENSG00000180488	FAM73A	374986	FAM73A
ENSG00000162614	NEXN	91624	NEXN
ENSG00000162613	FUBP1	8880	FUBP1
ENSG00000162616	DNAJB4	11080	DNAJB4
ENSG00000137960	GIPC2	54810	GIPC2
ENSG00000137959	IFI44L	10964	IFI44L
ENSG00000137965	IFI44	10561	IFI44
ENSG00000117114	ADGRL2	23266	ADGRL2
ENSG00000233008	RP11-475O6.1		RP11-475O6.1
ENSG00000137941	TTLL7	79739	TTLL7
ENSG00000142875	PRKACB	5567	PRKACB
ENSG00000117133	RPF1	80135	RPF1
